code,name,col,row
P001,PADANG BESAR,9,2
P002,KANGAR,9,3
P003,ARAU,8,3
P004,LANGKAWI,5,5
P005,JERLUN,8,6
P006,KUBANG PASU,9,5
P007,PADANG TERAP,10,5
P008,POKOK SENA,9,6
P009,ALOR SETAR,10,7
P010,KUALA KEDAH,9,7
P011,PENDANG,7,7
P012,JERAI,10,9
P013,SIK,11,6
P014,MERBOK,12,9
P015,SUNGAI PETANI,11,9
P016,BALING,12,8
P017,PADANG SERAI,12,10
P018,KULIM,10,10
P041,KEPALA BATAS,8,9
P042,TASEK GELUGOR,6,9
P043,BAGAN,8,10
P044,PERMATANG PAUH,7,10
P045,BUKIT MERTAJAM,9,12
P046,BATU KAWAN,7,12
P047,NIBONG TEBAL,5,12
P048,BUKIT BENDERA,3,9
P049,TANJONG,1,9
P050,JELUTONG,3,10
P051,BUKIT GELUGOR,2,10
P052,BAYAN BARU,1,12
P053,BALIK PULAU,3,12
P054,GERIK,14,9
P055,LENGGONG,15,11
P056,LARUT,14,11
P057,PARIT BUNTAR,14,12
P058,BAGAN SERAI,13,12
P059,BUKIT GANTANG,11,12
P060,TAIPING,14,13
P061,PADANG RENGAS,12,13
P062,SUNGAI SIPUT,10,13
P063,TAMBUN,8,13
P064,IPOH TIMUR,6,13
P065,IPOH BARAT,15,15
P066,BATU GAJAH,13,15
P067,KUALA KANGSAR,11,15
P068,BERUAS,9,15
P069,PARIT,7,15
P070,KAMPAR,15,16
P071,GOPENG,14,16
P072,TAPAH,12,16
P073,PASIR SALAK,10,16
P074,LUMUT,8,16
P075,BAGAN DATUK,6,16
P076,TELOK INTAN,16,18
P077,TANJONG MALIM,15,18
P019,TUMPAT,15,8
P020,PENKALAN CHEPA,17,8
P021,KOTA BHARU,16,9
P022,PASIR MAS,18,9
P023,RANTAU PANJANG,19,10
P024,KUBANG KERIAN,17,10
P025,BACHOK,20,12
P026,KETEREH,18,12
P027,TANAH MERAH,16,12
P028,PASIR PUTEH,21,13
P029,MACHANG,19,13
P030,JELI,17,13
P031,KUALA KRAI,15,13
P032,GUA MUSANG,16,15
P092,SABAK BERNAM,13,18
P093,SUNGAI BESAR,11,18
P094,HULU SELANGOR,9,18
P095,TANJONG KARANG,7,18
P096,KUALA SELANGOR,16,19
P097,SELAYANG,14,19
P098,GOMBAK,8,19
P099,AMPANG,15,21
P100,PANDAN,7,21
P101,HULU LANGAT,16,22
P102,SERDANG,8,22
P103,PUCHONG,15,24
P104,KELANA JAYA,7,24
P105,PETALING JAYA SELATAN,14,26
P106,PETALING JAYA UTARA,12,26
P107,SUBANG,8,26
P108,SHAH ALAM,15,27
P109,KAPAR,13,27
P110,KLANG,11,27
P111,KOTA RAJA,9,27
P112,KUALA LANGAT,12,28
P113,SEPANG,10,28
P078,CAMERON HIGHLANDS,19,20
P079,LIPIS,17,20
P080,RAUB,20,21
P081,JERANTUT,18,21
P082,INDERA MAHKOTA,16,21
P083,KUANTAN,19,22
P084,PAYA BESAR,17,22
P085,PEKAN,20,24
P086,MARAN,18,24
P087,KUALA KRAU,16,24
P088,TEMERLOH,21,25
P089,BENTONG,19,25
P090,BERA,17,25
P091,ROMPIN,15,25
P033,BESUT,20,15
P034,SETIU,18,15
P035,KUALA NERUS,21,16
P036,KUALA TERENGGANU,19,16
P037,MARANG,17,16
P038,HULU TERENGGANU,20,18
P039,DUNGUN,18,18
P040,KEMAMAN,20,20
P114,KEPONG,12,19
P115,BATU,10,19
P116,WANGSA MAJU,13,21
P117,SEGAMBUT,11,21
P118,SETIAWANGSA,9,21
P119,TITIWANGSA,14,22
P120,BUKIT BINTANG,12,22
P121,LEMBAH PANTAI,10,22
P122,SEPUTEH,13,24
P123,CHERAS,11,24
P124,BANDAR TUN RAZAK,9,24
P125,PUTRAJAYA,10,25
P127,JEMPOL,16,28
P128,SEREMBAN,14,28
P129,KUALA PILAH,16,30
P130,RASAH,14,30
P131,REMBAU,12,30
P132,TELOK KEMANG,15,31
P133,TAMPIN,13,31
P134,MASJID TANAH,17,31
P135,ALOR GAJAH,19,31
P136,TANGGA BATU,20,33
P137,BUKIT KATIL,18,33
P138,KOTA MELAKA,16,33
P139,JASIN,14,33
P140,SEGAMAT,22,27
P141,SEKIJANG,20,27
P142,LABIS,18,27
P143,PAGOH,16,27
P144,LEDANG,23,28
P145,BAKRI,21,28
P146,MUAR,19,28
P147,PARIT SULONG,17,28
P148,AYER HITAM,23,30
P149,SRI GADING,21,30
P150,BATU PAHAT,19,30
P151,SIMPANG RENGGAM,17,30
P152,KLUANG,24,31
P153,SEMBRONG,22,31
P154,MERSING,20,31
P155,TENGARA,27,33
P156,KOTA TINGGI,25,33
P157,PENGERANG,23,33
P158,TEBRAU,21,33
P159,PASIR GUDANG,28,34
P160,JOHOR BAHRU,26,34
P161,PULAI,24,34
P162,GELANG PATAH,22,34
P163,KULAI,27,36
P164,PONTIAN,25,36
P165,TANJONG PIAI,23,36
P167,KUDAT,50,30
P168,KOTA MARUDU,48,28
P169,KOTA BELUD,50,28
P170,TUARAN,51,28
P171,SEPANGGAR,53,28
P172,KOTA KINABALU,52,30
P173,PUTATAN,47,27
P174,PENAMPANG,49,27
P175,PAPAR,50,27
P176,KIMANIS,52,27
P177,BEAUFORT,54,27
P178,SIPITANG,54,30
P179,RANAU,46,26
P180,KENINGAU,48,26
P181,TENOM,50,26
P182,PENSIANGAN,51,26
P183,BELURAN,53,26
P184,LIBARAN,55,26
P185,BATU SAPI,56,26
P186,SANDAKAN,47,24
P187,KINABATANGAN,49,24
P188,SILAM,50,24
P189,SEMPORNA,52,24
P190,TAWAU,48,22
P191,KALABAKAN,51,22
P192,MAS GADING,46,29
P193,SANTUBONG,43,29
P194,PETRAJAYA,49,30
P195,BANDAR KUCHING,48,30
P196,STAMPIN,46,30
P197,KOTA SAMARAHAN,44,30
P198,MAMBONG,42,30
P199,SERIAN,49,32
P200,BATANG SADONG,47,32
P201,BATANG LUPAR,45,32
P202,SRI AMAN,43,32
P203,LUBOK ANTU,41,32
P204,BETONG,48,33
P205,SARATOK,46,33
P206,TANJONG MANIS,44,33
P207,IGAN,42,33
P208,SARIKEI,40,33
P209,JULAU,38,33
P210,KANOWIT,45,34
P211,LANANG,43,34
P212,SIBU,41,34
P213,MUKAH,39,34
P214,SELANGAU,37,34
P215,KAPIT,33,34
P216,HULU RAJANG,41,36
P217,BINTULU,39,36
P218,SIBUTI,37,36
P219,MIRI,35,36
P220,BARAM,33,36
P221,LIMBANG,37,37
P222,LAWAS,36,37
P166,LABUAN,44,26
